time_s;speed_kmh;soc_%;P_bar
184.200000;0.000000;97.184523;142.966116
184.300000;0.000000;97.184523;142.965050
184.400000;0.000000;97.184523;142.963984
184.500000;0.000000;97.184523;142.962918
184.600000;0.000000;97.184523;142.961852
184.700000;0.000000;97.184523;142.960787
184.800000;0.000000;97.184523;142.959721
184.900000;0.000000;97.184523;142.958655
185.000000;0.000000;97.184523;142.957589
185.100000;0.000000;97.184523;142.956523
185.200000;0.000000;97.184523;142.955457
185.300000;0.000000;97.184523;142.954391
185.400000;0.000000;97.184523;142.953325
185.500000;0.000000;97.184523;142.952258
185.600000;0.000000;97.184523;142.951192
185.700000;0.000000;97.184523;142.950126
185.800000;0.000000;97.184522;142.949060
185.900000;0.000000;97.184522;142.947994
186.000000;0.000000;97.184522;142.946928
186.100000;0.000000;97.184522;142.945862
186.200000;0.000000;97.184522;142.944796
186.300000;0.000000;97.184522;142.943729
186.400000;0.000000;97.184522;142.942663
186.500000;0.000000;97.184522;142.941597
186.600000;0.000000;97.184522;142.940531
186.700000;0.000000;97.184522;142.939464
186.800000;0.000000;97.184522;142.938398
186.900000;0.000000;97.184522;142.937332
187.000000;0.000000;97.184522;142.936265
187.100000;0.000000;97.184522;142.935199
187.200000;0.000000;97.184522;142.934133
187.300000;0.000000;97.184522;142.933066
187.400000;0.000000;97.184522;142.932000
187.500000;0.000000;97.184522;142.930934
187.600000;0.000000;97.184522;142.929867
187.700000;0.000000;97.184522;142.928801
187.800000;0.000000;97.184522;142.927734
187.900000;0.000000;97.184522;142.926668
188.000000;0.000000;97.184521;142.925601
188.100000;0.000000;97.184521;142.924535
188.200000;0.000000;97.184521;142.923468
188.300000;0.000000;97.184521;142.922402
188.400000;0.000000;97.184521;142.921335
188.500000;0.000000;97.184521;142.920268
188.600000;0.000000;97.184521;142.919202
188.700000;0.000000;97.184521;142.918135
188.800000;0.000000;97.184521;142.917069
188.900000;0.000000;97.184521;142.916002
189.000000;0.000000;97.184521;142.914935
189.100000;0.000000;97.184521;142.913869
189.200000;0.000000;97.184521;142.912802
189.300000;0.000000;97.184521;142.911735
189.400000;0.000000;97.184521;142.910668
189.500000;0.000000;97.184521;142.909602
189.600000;0.000000;97.184521;142.908535
189.700000;0.000000;97.184521;142.907468
189.800000;0.000000;97.184521;142.906401
189.900000;0.000000;97.184521;142.905335
190.000000;0.000000;97.184521;142.904268
190.100000;0.000000;97.184520;142.903201
190.200000;0.000000;97.184520;142.902134
190.300000;0.000000;97.184520;142.901067
190.400000;0.000000;97.184520;142.900000
190.500000;0.000000;97.184520;142.898933
190.600000;0.000000;97.184520;142.897866
190.700000;0.000000;97.184520;142.896799
190.800000;0.000000;97.184520;142.895732
190.900000;0.000000;97.184520;142.894665
191.000000;0.000000;97.184520;142.893598
191.100000;0.000000;97.184520;142.892531
191.200000;0.000000;97.184520;142.891464
191.300000;0.000000;97.184520;142.890397
191.400000;0.000000;97.184520;142.889330
191.500000;0.000000;97.184520;142.888263
191.600000;0.000000;97.184520;142.887196
191.700000;0.000000;97.184520;142.886129
191.800000;0.000000;97.184520;142.885062
191.900000;0.000000;97.184520;142.883995
192.000000;0.000000;97.184520;142.882927
192.100000;0.000000;97.184520;142.881860
192.200000;0.000000;97.184519;142.880793
192.300000;0.000000;97.184519;142.879726
192.400000;0.000000;97.184519;142.878659
192.500000;0.000000;97.184519;142.877591
192.600000;0.000000;97.184519;142.876524
192.700000;0.000000;97.184519;142.875457
192.800000;0.000000;97.184519;142.874389
192.900000;0.000000;97.184519;142.873322
193.000000;0.000000;97.184519;142.872255
